query_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
32,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
38,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
40,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
46,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
